Title,URL
Nick Cordero's wife offers update as he battles coronavirus,https://news.google.com/articles/CAIiEMSLzIiqGEQz3sIZ_sYW1tsqGQgEKhAIACoHCAowocv1CjCSptoCMNHPpgU?hl=en-CA&gl=CA&ceid=CA%3Aen
Coronavirus: Applause for key workers 'is not enough',https://news.google.com/articles/CBMiMWh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy9hbXAvdWstcG9saXRpY3MtNTI0MDM2MDnSATFodHRwczovL3d3dy5iYmMuY29tL25ld3MvYW1wL3VrLXBvbGl0aWNzLTUyNDAzNjA5?hl=en-CA&gl=CA&ceid=CA%3Aen
Pelosi promises more coronavirus relief: 'There will be a bill and it will be expensive',https://news.google.com/articles/CAIiEF6mOZvZYl0lF9hw_jcn83IqGQgEKhAIACoHCAowocv1CjCSptoCMPrTpgU?hl=en-CA&gl=CA&ceid=CA%3Aen
U.S. Hospitals Hit By Financial 'Triple Whammy' During Coronavirus Pandemic,https://news.google.com/articles/CBMikwFodHRwczovL3d3dy5ucHIub3JnL3NlY3Rpb25zL2Nvcm9uYXZpcnVzLWxpdmUtdXBkYXRlcy8yMDIwLzA0LzIzLzg0MzAxMjExOS91LXMtaG9zcGl0YWxzLWhpdC1ieS1maW5hbmNpYWwtdHJpcGxlLXdoYW1teS1kdXJpbmctY29yb25hdmlydXMtcGFuZGVtaWPSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen
'Science will come through': Doctor who pioneered HIV treatment discusses potential Covid-19 drugs,https://news.google.com/articles/CAIiELW-dPM8GFlmu77FuPnsRKAqGQgEKhAIACoHCAow2Nb3CjDivdcCMJ_5ngY?hl=en-CA&gl=CA&ceid=CA%3Aen
Trump pulls punches and clings to his China trade deal as backlash against Beijing grows,https://news.google.com/articles/CAIiEFeJngxmB_ErpEVGkmCyfG8qGQgEKhAIACoHCAow2Nb3CjDivdcCMMHF0wY?hl=en-CA&gl=CA&ceid=CA%3Aen
"N.J. Gov. Phil Murphy provides daily coronavirus update: How to watch live. (April 25, 2020)",https://news.google.com/articles/CAIiEGTeHoX0vnRUgiLW1Tqj1KQqGQgEKhAIACoHCAowr6T_CjD1tPgCMNKcpAY?hl=en-CA&gl=CA&ceid=CA%3Aen
"606 new coronavirus cases in Ontario, total reaches 11,184 cases and 584 deaths",https://news.google.com/articles/CAIiEHS3_0-CRilrI6kV-nUqbAQqGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU?hl=en-CA&gl=CA&ceid=CA%3Aen
Some states get a taste of normalcy but others take 'whatever steps necessary' to slow coronavirus spread,https://news.google.com/articles/CAIiEK4BbOE9fWd4byCp8sxcfDYqGQgEKhAIACoHCAowocv1CjCSptoCMIrUpgU?hl=en-CA&gl=CA&ceid=CA%3Aen
Donald Trump said coronavirus 'should have never happened.' What?,https://news.google.com/articles/CAIiECo4bI_ctpvCJvIIFV9RAT0qGQgEKhAIACoHCAowocv1CjCSptoCMJrUpgU?hl=en-CA&gl=CA&ceid=CA%3Aen
Leaked White House emails reveal behind-the-scenes battle over chloroquine in coronavirus response,https://news.google.com/articles/CAIiENGfPao9p6NV1B9qHMKW9BQqGQgEKhAIACoHCAow2Nb3CjDivdcCMJ_d7gU?hl=en-CA&gl=CA&ceid=CA%3Aen
Bill Gates: 'I wish I could say that we're halfway through' coronavirus pandemic,https://news.google.com/articles/CAIiEH0f-ueaedlyGjA7krPE1MwqGQgEKhAIACoHCAow2Nb3CjDivdcCMMHF0wY?hl=en-CA&gl=CA&ceid=CA%3Aen
Walmart store in Colorado shuts down after coronavirus deaths,https://news.google.com/articles/CAIiEG5bTBKKVzhegNXUW1EQYAYqGQgEKhAIACoHCAowocv1CjCSptoCMMSUnAY?hl=en-CA&gl=CA&ceid=CA%3Aen
Coronavirus detected on particles of air pollution,https://news.google.com/articles/CAIiEMPX0BT9sUJ5hMrdKqq1BXIqFwgEKg4IACoGCAowl6p7MN-zCTClss0G?hl=en-CA&gl=CA&ceid=CA%3Aen
"As States Open Up, Health Experts Seek To Understand Coronavirus's Early Silent Spread",https://news.google.com/articles/CAIiEPf63jb6EQp-tedRg5Zgi_AqGQgEKhAIACoHCAowxLOXCzC33K4DMN-FzAY?hl=en-CA&gl=CA&ceid=CA%3Aen
Why The US Early Warning System For Spread Of Coronavirus Stumbled : Shots - Health News,https://news.google.com/articles/CAIiEJDql_sWAT02Op77K61-56IqFggEKg4IACoGCAow9vBNMK3UCDDq0Rc?hl=en-CA&gl=CA&ceid=CA%3Aen
The authoritarian threats of coronavirus,https://news.google.com/articles/CAIiEMOpoo3QTZp9NKt65Z0ftOYqGQgEKhAIACoHCAowocv1CjCSptoCMI29pgU?hl=en-CA&gl=CA&ceid=CA%3Aen
Ask Dr. Nandi: Trump suggests 'injection' of disinfectant to beat coronavirus and 'clean' the lungs,https://news.google.com/articles/CBMigwFodHRwczovL3d3dy53eHl6LmNvbS9uZXdzL2Nvcm9uYXZpcnVzL2Fzay1kci1uYW5kaS10cnVtcC1zdWdnZXN0cy1pbmplY3Rpb24tb2YtZGlzaW5mZWN0YW50LXRvLWJlYXQtY29yb25hdmlydXMtYW5kLWNsZWFuLXRoZS1sdW5nc9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen
"Canada is flattening the coronavirus curve. That’s ‘good news,’ expert explains",https://news.google.com/articles/CAIiEMeyNtNofNBRq02SMWFtu7sqGQgEKhAIACoHCAowqeP_CjDdg_oCMMTh6QU?hl=en-CA&gl=CA&ceid=CA%3Aen
Global stocks falter as investors lose faith in potential coronavirus treatment,https://news.google.com/articles/CAIiEHpl7eYMJ9jdyrS1r_0S5eMqGQgEKhAIACoHCAowocv1CjCSptoCMPrTpgU?hl=en-CA&gl=CA&ceid=CA%3Aen
2 Californians died of coronavirus weeks before previously known 1st US death,https://news.google.com/articles/CAIiEGa7K4dNxM27vbd6bDV6-h4qGQgEKhAIACoHCAowocv1CjCSptoCMIrUpgU?hl=en-CA&gl=CA&ceid=CA%3Aen
Michael Avenatti released from jail due to coronavirus fears,https://news.google.com/articles/CAIiEOE3rIADJkuQ_FjPcx9nWnUqGQgEKhAIACoHCAowocv1CjCSptoCMJrUpgU?hl=en-CA&gl=CA&ceid=CA%3Aen
Do homemade face masks keep you from acquiring coronavirus? Here's what we know,https://news.google.com/articles/CAIiEJnibaBvoKdAHGxdkaYIu5kqFQgEKgwIACoFCAow4GowoAgwhuCMBg?hl=en-CA&gl=CA&ceid=CA%3Aen
"Answering Your Coronavirus Questions: Vaccines, Mythbusting And Dating",https://news.google.com/articles/CBMibWh0dHBzOi8vd3d3Lm5wci5vcmcvMjAyMC8wNC8yNC84NDQ4NTE0MjcvYW5zd2VyaW5nLXlvdXItY29yb25hdmlydXMtcXVlc3Rpb25zLXZhY2NpbmVzLW15dGhidXN0aW5nLWFuZC1kYXRpbmfSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen
Coronavirus refunds: why fans are raging over ticket policies,https://news.google.com/articles/CAIiEOmmZnPN1YpTNJByp11ZSUIqFggEKg4IACoGCAowl6p7MN-zCTCOvRU?hl=en-CA&gl=CA&ceid=CA%3Aen
"Coronavirus The latest coronavirus updates: Saturday, April 25, 2020 9:08 AM, Apr 25, 2020",https://news.google.com/articles/CBMiW2h0dHBzOi8vd3d3Lnd4eXouY29tL25ld3MvY29yb25hdmlydXMvdGhlLWxhdGVzdC1jb3JvbmF2aXJ1cy11cGRhdGVzLXNhdHVyZGF5LWFwcmlsLTI1LTIwMjDSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen
NASA team developed a ventilator tailored for coronavirus patients in 37 days,https://news.google.com/articles/CAIiEPDgpion92ZziyUF8oNjdMgqGQgEKhAIACoHCAowocv1CjCSptoCMPrTpgU?hl=en-CA&gl=CA&ceid=CA%3Aen
Coronavirus in Georgia | Early Saturday there were 22491 confirmed cases; nearly 900 deaths,https://news.google.com/articles/CBMiiAFodHRwczovL3d3dy4xMWFsaXZlLmNvbS9hcnRpY2xlL25ld3MvaGVhbHRoL2Nvcm9uYXZpcnVzL2Nvcm9uYXZpcnVzLWluLWdlb3JnaWEtc2F0dXJkYXktYXByaWwtMjUvODUtMWU0ZWQxNzktODZkMC00ZDkyLTg5ZDktMTM4YThmOGU5ZTBh0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen
"Open science takes on the coronavirus pandemic Data sharing, open-source designs for medical equipment, and",https://news.google.com/articles/CBMiMmh0dHBzOi8vd3d3Lm5hdHVyZS5jb20vYXJ0aWNsZXMvZDQxNTg2LTAyMC0wMTI0Ni0z0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen
A family on the frontlines,https://news.google.com/articles/CAIiELnbaZ1i63M1wrZnfo9ur1EqGQgEKhAIACoHCAowocv1CjCSptoCMPrTpgU?hl=en-CA&gl=CA&ceid=CA%3Aen
